1, 1323500
2, 1292417
3, 1290417
4, 1289250
5, 1286834
6, 1304250
7, 1291416
8, 1290334
9, 1290583
10, 1288250
11, 1292833
12, 1294625
13, 1288000
14, 1290333
15, 1297500
16, 1287250
17, 1312458
18, 1291416
19, 1299917
20, 1287125
21, 1288709
22, 1285792
23, 1299875
24, 1295084
25, 1288000
26, 1286875
27, 1290916
28, 1288667
29, 1287375
30, 1293709
31, 1303500
32, 1292917
33, 1289083
34, 1287167
35, 1286083
36, 1288000
37, 1293292
38, 1322833
39, 1293792
40, 1290875
41, 1287792
42, 1289625
43, 1286791
44, 1303000
45, 1289583
46, 1292667
47, 1286541
48, 1323500
49, 1285750
50, 1285125
