1, 36883958
2, 36687000
3, 36521125
4, 36699125
5, 36685958
6, 36809916
7, 36851583
8, 36482750
9, 36910875
10, 36518791
11, 36777334
12, 36663125
13, 36762584
14, 36710708
15, 36456125
16, 36730042
17, 36452334
18, 36711083
19, 36760958
20, 36823542
21, 36676667
22, 36632667
23, 36492125
24, 36824166
25, 39808542
26, 37646083
27, 36825708
28, 36790042
29, 36963084
30, 37226708
31, 37154917
32, 36896416
33, 37049459
34, 36767125
35, 36845250
36, 36600792
37, 36429709
38, 36451208
39, 36039625
40, 36537292
41, 36178041
42, 36323584
43, 36330000
44, 36354000
45, 36068334
46, 36187958
47, 36112666
48, 36180583
49, 36188792
50, 36435250
