1, 8455875
2, 8288375
3, 8297959
4, 8260292
5, 8267292
6, 8286750
7, 8275666
8, 8255208
9, 8309375
10, 8278584
11, 8311500
12, 8272000
13, 8274375
14, 8256500
15, 8269333
16, 8329833
17, 8277375
18, 8276333
19, 8273666
20, 8252292
21, 8299542
22, 8291917
23, 8257416
24, 8258583
25, 8278917
26, 8299584
27, 8279916
28, 8295500
29, 8275667
30, 8279333
31, 8282417
32, 8263917
33, 8274792
34, 8303291
35, 8310125
36, 8266125
37, 8267708
38, 8354708
39, 8262583
40, 8302625
41, 8274542
42, 8261333
43, 8276750
44, 8261041
45, 8297625
46, 8276417
47, 8267125
48, 8257500
49, 8272750
50, 8330334
