1, 214654417
2, 213656084
3, 214490791
4, 215159375
5, 215348875
6, 216197708
7, 216642792
8, 218175875
9, 221873125
10, 225151916
11, 228910750
12, 212616750
13, 211681625
14, 211838708
15, 212231833
16, 212142291
17, 212154333
18, 212420292
19, 216391417
20, 216436458
21, 216334917
22, 216051209
23, 218094667
24, 216746500
25, 218224833
26, 219971625
27, 218548000
28, 218742292
29, 219787625
30, 218477292
31, 216873417
32, 216846000
33, 218050333
34, 217214625
35, 218522541
36, 217207875
37, 217509833
38, 219615000
39, 233044875
40, 242349709
41, 242239625
42, 243352541
43, 224414042
44, 228817750
45, 229293250
46, 233891500
47, 229941209
48, 212297458
49, 211821792
50, 212454291
