1, 3959583
2, 3923417
3, 3888792
4, 3866791
5, 3898750
6, 3865292
7, 3907916
8, 3871583
9, 3897917
10, 3882042
11, 3907084
12, 3944292
13, 3898625
14, 3895917
15, 3898875
16, 3892458
17, 3892958
18, 3999459
19, 3912458
20, 3904375
21, 3903250
22, 3945416
23, 3912375
24, 4246042
25, 4338916
26, 4209708
27, 4127416
28, 3935000
29, 3911875
30, 3946083
31, 3921208
32, 3975041
33, 3905292
34, 3937875
35, 3903041
36, 3949417
37, 3947042
38, 3919250
39, 3941541
40, 3944208
41, 3919583
42, 3946791
43, 3978834
44, 3953458
45, 3923916
46, 3933666
47, 3951250
48, 3938792
49, 3984541
50, 3997333
