1, 1188833
2, 1133542
3, 1130791
4, 1130541
5, 1128458
6, 1147625
7, 1160583
8, 1131542
9, 1131125
10, 1130417
11, 1132833
12, 1133458
13, 1130667
14, 1138708
15, 1133833
16, 1126500
17, 1127167
18, 1125541
19, 1125125
20, 1135500
21, 1126000
22, 1124666
23, 1124250
24, 1131958
25, 1124542
26, 1125209
27, 1124583
28, 1144042
29, 1124750
30, 1124417
31, 1124666
32, 1123875
33, 1133042
34, 1167041
35, 1131291
36, 1125125
37, 1125500
38, 1123958
39, 1124750
40, 1125042
41, 1131416
42, 1126875
43, 1132792
44, 1124500
45, 1124667
46, 1124125
47, 1125167
48, 1123708
49, 1133792
50, 1169709
