1, 678525709
2, 677170333
3, 680753084
4, 680666708
5, 677010083
6, 684835667
7, 682128750
8, 687870375
9, 683815125
10, 690584500
11, 697540125
12, 706233500
13, 714537458
14, 713127250
15, 713960833
16, 677603000
17, 675461000
18, 676428875
19, 678404625
20, 684165584
21, 679786708
22, 683113042
23, 689247125
24, 686848542
25, 687304584
26, 692149750
27, 700934042
28, 695059542
29, 697066250
30, 692464959
31, 694657917
32, 698104875
33, 684680833
34, 675095208
35, 705338125
36, 680660584
37, 711705500
38, 686903834
39, 681171667
40, 682403750
41, 679646750
42, 688567416
43, 708658166
44, 698996208
45, 687576042
46, 693401833
47, 687876917
48, 688099125
49, 697626958
50, 683045708
