1, 4047667
2, 3978000
3, 3951209
4, 3927583
5, 3934500
6, 3926500
7, 3940167
8, 3941875
9, 3924333
10, 3933792
11, 3935834
12, 3962750
13, 3985917
14, 3925083
15, 3940250
16, 3941417
17, 3929250
18, 3919167
19, 3943125
20, 3949084
21, 3924042
22, 3928500
23, 3968083
24, 3945000
25, 3931125
26, 3961292
27, 3955375
28, 3934083
29, 3943042
30, 3930833
31, 3928542
32, 3927708
33, 3981000
34, 3925792
35, 3930375
36, 3941792
37, 3946959
38, 3934459
39, 3959458
40, 3946708
41, 3947000
42, 3926042
43, 3958250
44, 3947000
45, 3990125
46, 3929958
47, 3923667
48, 3940917
49, 3926917
50, 3946916
