1, 58264250
2, 58230083
3, 58269333
4, 58320625
5, 58428833
6, 58547541
7, 58501917
8, 58735583
9, 60649083
10, 58075459
11, 58281959
12, 58683000
13, 58300958
14, 58778542
15, 58394708
16, 59027833
17, 58443416
18, 59218833
19, 58546084
20, 60286500
21, 59217542
22, 59310333
23, 59361584
24, 59564334
25, 59680500
26, 59871333
27, 60055209
28, 60355000
29, 60218292
30, 60333917
31, 60358708
32, 60349292
33, 60430250
34, 60637708
35, 60943083
36, 60584625
37, 60534042
38, 61748292
39, 60515125
40, 59864375
41, 60839875
42, 55093500
43, 56014292
44, 55019209
45, 53797125
46, 53882625
47, 53849542
48, 53841459
49, 54040625
50, 53974250
