1, 56508833
2, 56621333
3, 56961042
4, 56833708
5, 57003542
6, 57249959
7, 57392166
8, 57807458
9, 58318000
10, 58771709
11, 58782458
12, 58221084
13, 55469208
14, 55451583
15, 55643000
16, 55895125
17, 55850917
18, 55945042
19, 55522542
20, 55787416
21, 55785625
22, 56322209
23, 56388792
24, 56302084
25, 56434167
26, 56706291
27, 56617250
28, 56891625
29, 56984500
30, 57889458
31, 55408666
32, 55369375
33, 55556541
34, 55893917
35, 55681500
36, 55874208
37, 55803375
38, 56003625
39, 55771541
40, 55999167
41, 56002458
42, 56212333
43, 56282958
44, 56578250
45, 56738167
46, 56678125
47, 56847333
48, 56988125
49, 57302000
50, 56153125
