1, 25726959
2, 25574625
3, 25585125
4, 25542375
5, 25571541
6, 25554541
7, 25556000
8, 25511375
9, 25600166
10, 25480292
11, 25774375
12, 25564375
13, 25605833
14, 25525583
15, 25720250
16, 23350083
17, 23458667
18, 23260791
19, 23253625
20, 23248791
21, 23239833
22, 23299083
23, 24373625
24, 25240000
25, 23398208
26, 23338208
27, 23242625
28, 23419459
29, 23309000
30, 23285250
31, 23523459
32, 23235166
33, 23241709
34, 23274917
35, 23247709
36, 23283166
37, 23265083
38, 23262250
39, 23392875
40, 23307917
41, 23282209
42, 23258167
43, 23325417
44, 23265667
45, 23411583
46, 23616208
47, 23386541
48, 23289167
49, 23285750
50, 23303458
